0	0	Q18026716
0	1	Q138955
0	2	Q22809711
1	0	Q18026651
1	1	Q138955
1	2	Q22809711
2	0	Q18026610
2	1	Q138955
2	2	Q22809711
3	0	Q18026459
3	1	Q138955
3	2	Q22809711
4	0	Q18026407
4	1	Q138955
4	2	Q22809711
5	0	Q18026203
5	1	Q138955
5	2	Q22809711
6	0	Q17928565
6	1	Q138955
6	2	Q22809711
7	0	Q17917549
7	1	Q138955
7	2	Q22809711
8	0	Q17914005
8	1	Q138955
8	2	Q22809711
9	0	Q17912304
9	1	Q138955
9	2	Q22809711
10	0	Q17907800
10	1	Q138955
10	2	Q22809711
11	0	Q17861992
11	1	Q138955
11	2	Q22809711
12	0	Q17861767
12	1	Q138955
12	2	Q22809711
13	0	Q17861475
13	1	Q138955
13	2	Q22809711
14	0	Q17861114
14	1	Q138955
14	2	Q22809711
15	0	Q17859612
15	1	Q138955
15	2	Q22809711
16	0	Q17853452
16	1	Q138955
16	2	Q22809711
17	0	Q17816452
17	1	Q138955
17	2	Q22809711
18	0	Q17709510
18	1	Q138955
18	2	Q22809711
19	0	Q15329133
19	1	Q138955
19	2	Q22809711
