0	0	Q424976
0	1	Q18225
0	2	Q22314329
0	3	Q28123619
1	0	Q3611854
1	1	Q420418
1	2	Q14916460
1	3	Q28123618
2	0	Q423098
2	1	Q28742
2	2	Q22282305
2	3	Q28123618
3	0	Q415588
3	1	Q7202320
3	2	Q22274634
3	3	Q28123618
4	0	Q412415
4	1	Q7202320
4	2	Q21095320
4	3	Q28123618
5	0	Q192717
5	1	Q28742
5	2	Q22273545
5	3	Q28123618
6	0	Q419724
6	1	Q7169506
6	2	Q21108024
6	3	Q28123617
7	0	Q281082
7	1	Q804539
7	2	Q22324615
7	3	Q28123616
8	0	Q139200
8	1	Q175621
8	2	Q22284352
8	3	Q28123615
9	0	Q139347
9	1	Q139660
9	2	Q22282132
9	3	Q28123615
10	0	Q423746
10	1	Q205130
10	2	Q21123303
10	3	Q28123615
11	0	Q130365
11	1	Q753009
11	2	Q14907829
11	3	Q28123615
12	0	Q186093
12	1	Q182338
12	2	Q22273427
12	3	Q28123617
13	0	Q186127
13	1	Q343465
13	2	Q22273340
14	0	Q193045
14	1	Q422676
14	2	Q21121674
15	0	Q18936
15	1	Q417589
15	2	Q21097417
16	0	Q212272
16	1	Q48318
16	2	Q21095318
17	0	Q423520
17	1	Q16023748
17	2	Q22274450
18	0	Q421862
18	1	Q2689559
18	2	Q22274464
19	0	Q411478
19	1	Q419639
19	2	Q22290460
