0	0	Q61865369
0	1	Q390551
0	2	Q12152
0	3	Q6973027
1	0	Q61865361
1	1	Q390551
1	2	Q4667534
1	3	Q5409765
2	0	Q61865087
2	1	Q390551
2	2	Q1586088
2	3	Q5409765
3	0	Q61865354
3	1	Q390551
3	2	Q749409
3	3	Q5409765
4	0	Q61865136
4	1	Q390551
4	2	Q12252367
4	3	Q3519875
5	0	Q61865335
5	1	Q390551
5	2	Q596474
5	3	Q1967405
6	0	Q61865114
6	1	Q390551
6	2	Q246068
6	3	Q1967405
7	0	Q61865356
7	1	Q390551
7	2	Q131755
7	3	Q1967405
8	0	Q61865312
8	1	Q390551
8	2	Q131755
8	3	Q1967405
9	0	Q61865116
9	1	Q390551
9	2	Q83030
9	3	Q1967405
10	0	Q61865088
10	1	Q390551
10	2	Q1418735
10	3	Q664846
11	0	Q61865128
11	1	Q390551
11	2	Q467635
11	3	Q664846
12	0	Q61865264
12	1	Q390551
12	2	Q223911
12	3	Q664846
13	0	Q61865057
13	1	Q390551
13	2	Q223911
13	3	Q664846
14	0	Q61865117
14	1	Q390551
14	2	Q208414
14	3	Q664846
15	0	Q61865048
15	1	Q390551
15	2	Q180614
15	3	Q664846
16	0	Q61865363
16	1	Q390551
16	2	Q177755
16	3	Q664846
17	0	Q61865052
17	1	Q390551
17	2	Q177755
17	3	Q664846
18	0	Q61707436
18	1	Q185246
18	2	Q12206
18	3	Q30263131
19	0	Q61865362
19	1	Q219563
19	2	Q178194
19	3	Q6973027
